,quarter,DAU,MAU
0,Q1'17,0.0,0.0
1,Q2'17,0.03125000000000003,0.036082474226804044
2,Q3'17,0.03787878787878791,0.029850746268656747
3,Q4'17,0.021897810218977957,0.02898550724637684
4,Q1'18,0.03571428571428575,0.03286384976525835
5,Q2'18,0.013793103448275874,0.013636363636363547
6,Q3'18,0.01360544217687076,0.01793721973094172
7,Q4'18,0.020134228187919483,0.022026431718061595
8,Q1'19,0.026315789473684233,0.025862068965517265
9,Q2'19,0.019230769230769246,0.012605042016806827
10,Q3'19,0.018867924528301903,0.016597510373443997
11,Q4'19,0.024691358024691242,0.020408163265306048
