,quarter,DAU,MAU
0,Q1'17,1.28,1.94
1,Q2'17,1.32,2.01
2,Q3'17,1.37,2.07
3,Q4'17,1.4,2.13
4,Q1'18,1.45,2.2
5,Q2'18,1.47,2.23
6,Q3'18,1.49,2.27
7,Q4'18,1.52,2.32
8,Q1'19,1.56,2.38
9,Q2'19,1.59,2.41
10,Q3'19,1.62,2.45
11,Q4'19,1.66,2.5
