,quarter,MAU,DAU
0,Q1'17,327.0,109
1,Q2'17,326.0,110
2,Q3'17,330.0,114
3,Q4'17,330.0,115
4,Q1'18,336.0,120
5,Q2'18,335.0,122
6,Q3'18,326.0,124
7,Q4'18,321.0,126
8,Q1'19,330.0,134
9,Q2'19,391,139
10,Q3'19,399,145
11,Q4'19,407,152
