,quarter,MAU,DAU
0,Q1'17,0,0.0
1,Q2'17,-0.0030581039755351682,0.009174311926605505
2,Q3'17,0.012269938650306749,0.03636363636363636
3,Q4'17,0.0,0.008771929824561403
4,Q1'18,0.01818181818181818,0.043478260869565216
5,Q2'18,-0.002976190476190476,0.016666666666666666
6,Q3'18,-0.026865671641791045,0.01639344262295082
7,Q4'18,-0.015337423312883436,0.016129032258064516
8,Q1'19,0.028037383177570093,0.06349206349206349
9,Q2'19,0.18484848484848485,0.03731343283582089
10,Q3'19,0.020460358056265986,0.04316546762589928
11,Q4'19,0.020050125313283207,0.04827586206896552
